run_id,run_label,run_start_utc,scene,elapsed_sec,sources,model,transport,endpoint,context_size,gpu_layers,parallel_slots,max_tokens,temperature,top_p,top_k,repeat_penalty,total_decisions,decisions_per_minute,model_actions,fallback_actions,no_actions,backend_errors,parse_failures,policy_rejected,policy_normalized,deliberative_decisions,structured_decisions,valid_action_rate,fallback_rate,no_action_rate,backend_error_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,mean_prompt_chars,mean_prompt_tokens,mean_completion_tokens,cache_hit_rate,finalization_reason,incidents_opened,incidents_resolved,lockdowns_ordered,escape_attempts,radio_messages,mean_incident_seconds
20260909_191742_argsinline,argsinline,2026-09-09T19:17:42.0307252Z,PrisonYard,300.0012,8,granite-4.1-3b-Q4_K_M.gguf,ChatCompletions,http://localhost:8080/v1/chat/completions,16384,99,8,256,0.2,0.95,40,1,424,84.7997,418,6,0,0,6,0,0,21,424,0.9858,0.0142,0,0,2308.657,2249.603,4284.34,2152.01,567.9222,12.5,0.5471,duration elapsed,1,1,0,0,12,13.4048
20260909_192323_argsinstate,argsinstate,2026-09-09T19:23:23.6123139Z,PrisonYard,300.0009,8,granite-4.1-3b-Q4_K_M.gguf,ChatCompletions,http://localhost:8080/v1/chat/completions,16384,99,8,256,0.2,0.95,40,1,444,88.7997,443,1,0,0,1,0,0,22,444,0.9977,0.0023,0,0,1850.962,1685.669,3444.199,2294.092,605.3243,13.9077,0.7097,duration elapsed,1,1,0,0,8,3.5963
20260910_150511_stealthguard,stealthguard,2026-09-10T15:05:11.8982841Z,StealthGuard,272.4441,3,granite-4.1-3b-Q4_K_M.gguf,ChatCompletions,http://localhost:8080/v1/chat/completions,8192,99,4,256,0.2,0.95,40,1,306,67.39,306,0,0,0,0,0,0,0,306,1,0,0,0,699.357,700.0732,964.18,2257.177,574.1667,13.0294,0.7707,application quit
